бязь,"агъ (ди, ар)"
замечать,ул киркьвас
зрачок,улин Iегв
звук,ун
звать,"унахъас (унархъай, унахъуна, унахъ, унахъуб, унмархъа)"
залезать,"учIас (учIай, учIуна, учI, учIуб, амучIа)"
зачем,фас
задержать,"фацанас (фарцанди, фацуна, фацен, фацуб, фамарцана)"
задерживать,"фацанас (фарцанди, фацуна, фацен, фацуб, фамарцана)"
зачем,фикьас
затем,хабди
затем,хуппай
заступаться,"хъагъишас (хъагъишай, хъагъишина, хъагъиш, хъагъишиб, хъагъмиша)"
заступиться,"хъагъишас (хъагъишай, хъагъишина, хъагъиш, хъагъишиб, хъагъмиша)"
защитить (ся),"хъагъишас (хъагъишай, хъагъишина, хъагъиш, хъагъишиб, хъагъмиша)"
защищать (ся),"хъагъишас (хъагъишай, хъагъишина, хъагъиш, хъагъишиб, хъагъмиша)"
заступник,хъагъишаф
защитник,хъагъишаф
заступничество,хъагъишиб
защита,хъагъишиб
злоба,хъел
злиться,хъел адес
запереть,"хъикIас (хъикIай, хъикIуна, хъикI, хъикIуб, хъимикIа)"
запирать,"хъикIас (хъикIай, хъикIуна, хъикI, хъикIуб, хъимикIа)"
зрелый,хъучархьуф
зад,цуц
зарница,цIелп
запеленать,чаппаригI гIадиджанас
заикаться,чIал хъукъас
заикнуться,чIал хъукъас
запинаться,чIал хъукъас
запнуться,чIал хъукъас
зря,чIана
злавоние,чIирхIе ниъ
заходи,шаб
заподозривать,шак вес
заподозрить,шак вес
засомневаться,шак вес
золовка,шуван чи
задыхаться,эл фацанас
знакомить,ягIар акьас
знание,"ягIарвел (ди, ар)"
знакомиться,ягIархьас
знать,ягIархьас
знакомый,ягIаф
знающий,ягIаф
зять,язна
злой,Iаеф
зло,Iайвел
злость,Iайвел
зеркало,Iегв
зрение,"Iекв (Iеку, -)"
зима,"Iурд (и, -)"
зимой,Iурдана
зимний,Iурдинф
казаться,"агвас (аргвай, агуна, -, агуб, -)"
кость (трубчатая),"ад (у, ар)"
катиться,"адавес (адавей, адайшуна, адаях, адайшуб, адмева)"
крупный,азманф
кидать (со злости),"алирхIас (алирхIай, алирхIуна, алирхI, алирхIуб, алмирхIа)"
кинуть (со злости),"алирхIас (алирхIай, алирхIуна, алирхI, алирхIуб, алмирхIа)"
класть,"алихьас (алихьай, алихьуна, алихь, алихьуб, алмихьа)"
кубачинцы,аргIабакIар
конец,"ахира, ар)"
кастрировать,ахтта акьас
каша,"аш (уни, ар)"
красота,батIарвел
красиво,батIарди
красивый,батIарф
курносый,батIиш
кувалда,бахълухъ
конкуренция,бехIс
княгиня,бика
крупинка,бицIи уд
кукла,"будай (буди, будаяр)"
ключ (родник),"булах (и, ар)"
коричневый,буреф
кубок,"вакъ (ала, ар)"
клик,"вев (у, ер)"
крик,"вев (у, ер)"
кликнуть,вевер акьас
крикнуть,вевер акьас
кричать,вевер акьас
камень (драгоценный),"гавгьар (и, ар)"
кирка,"газа (йи, бур)"
кутан,"гал (у, ар)"
крючок (дверной),"гам (у, ар)"
корабль,гами
кинжал,гапур
ка,гва
комок,гвад
комок,гвад
кувшин,гвар
ключ,"гилегв (и, ар)"
клей,гилерджв
круглый,гиргенф
кошка,"гитан (и, ар)"
котенок,гитанпн чарккв
колокол,гургур
колокольчик,гургур
копна,"гъаб (ала, ар)"
кровля,"гъвад (и, ар)"
камень,"гъван (ди, ар)"
каменьщик,гъвандин устта
кисть (руки),гъилин кьаб
круча,"гъун (а, ар)"
кулак,"гъурд (ала, ар)"
копье,"гъуч (у, ар)"
купить,"гъушанас (гъуршанди, гъушуна, гъушен, гъушуб, магъуяна)"
климат,"гьава (йи, бур)"
каждый,гьерф
куропатка,"гIуд (ура, ар)"
каблук,"дабан (и, ар)"
качать,"дакьанас (даркьанди, дакьуна, дакьен, дакьуб, мадаркьана)"
качнуть,"дакьанас (даркьанди, дакьуна, дакьен, дакьуб, мадаркьана)"
кроме,дала
кабан,даран вакк
корица,"дарчин (и, ар)"
кузница,джад
короткий,джикъеф
курить,"дивас (дивай, дивуна, див, дивуб, мадива)"
курильщик,диваф
колючка,"заз (у, ар)"
контора,"идара (йи, бур)"
класть,"икIас (икIай, икIуна, икI, икIуб, имикIа)"
краснота,иревел
красный,иреф
кость,иркк
класть,"ихьас (ихьай, ихьуна, ихь, ихьуб, имихьа)"
картина,ишкил
картинка,ишкил
кровь,"иъ (и, ер)"
кровавый,иъинф
капуста,калам
копейка,"кепек (и, ар)"
кайф,кеф
клейкий,кикъваф
касаться,"кирхIас (кирхIай, кирхIуна, кирхI, кирхIуб, кимирхIа)"
коснуться,"кирхIас (кирхIай, кирхIуна, кирхI, кирхIуб, кимирхIа)"
книга,китаб
клык,кканчч
крюк,"кквахI (у, ар)"
крючок,"кквахI (у, ар)"
кукушка,ккекку
кончить (ся),"ккиркIвас (ккиркIвай, ккиркIуна, ккиркIв, ккиркIуб, ккимиркIва)"
конченный,ккиркIуф
кизяк,куб
копоть,"кум (а, -)"
коса (волос),куч
кличка,"къавахIан (ди, ар)"
корить,къавахIан акьас
казан,къазан
крепость,"къала (йи, бур)"
караул,"къаравул (ди, ар)"
кожура,къарк
кора,къарк
клок (шерсти),къарт
клетка,къафаз
коридор,къвар
копыто,"къвац (ала, ар)"
кнут,"къемчи (-, бур)"
кусачки,къецI
край,"къирагъ (ди, ар)"
крайний,къиракъдинф
купол,къубу
колодец,къуй
клюв,къупп
кот,къурмев
количество,кьадар
конопля,кьантIузай
кровать,"кьас (а, ар)"
кусать,"кьацI икIас (- икIай, - икIуна, - икI, - икIуб, - имикIа)"
ковер,кьвадилкьван
колено,кьвакьв
куст,кьвали
короб,"кьвани (-, бур)"
коробка,"кьвани (-, бур)"
кожа (анат.),кьвачIа
крышка,кьул
ключ (родник),кьулла
козел,"кьун (а, ар)"
козлинный,кьунанф
кадык,кьуркьан кулагъ
кудахтать,кьуртI йирхIас
кусок,кьурц
камень (строительный),кьутт
камушек,кьутт
кушанцы,кьушанар
короб для складывания хлеба,кIватт
кончик,кIекIв
колос,кIетI
козлина,кIечI
контролировать,кIилил гъирхIас
контролер,кIилил гъирхIаф
культура,маданият
кульутрный,маданиятинф
корреспондент,"макьалачи (-, бур)"
кефир,мастт
камин,"мац (а, ар)"
кривляка,мацIахай
красноречивый,мезрухI
красноречивость,мезуралвел
красноречиво,мезуралди
красноречивый,мезуралф
корень,мерI
квартал,мехIела
козленок,мудур
когда,мус
который,нае
которые,наебур
куда,найич
кладбище,некьвар
камыш,"нецIвар (и, -)"
крупа,нирхI
канатоходец,пагьливан
король,"паччагь (ди, ар)"
королевство,"паччагьвел (ди, ар)"
королевский,паччаьдинф
курица,"пеI (ела, ер)"
курятник,пеIелан муг
куринный,пеIеланф
красить,"рихьес (рихьей, рихьина, рихь, рихьиб, марихьа)"
кишка,руд
курдюк,"рудж (ура, ар)"
копчик,руджуран кьаб
кузнец,рукьан устта
копать,"рукIас (рукIай, рукIуна, рукI, рукIуб, марукIа)"
крутить,"руцас (руцай, руцуна, руц, руцуб, маруца)"
кипеть,"руьхьес (руьхьей, руьхьуьна, руьхь, руьхьуьб, маруьхье)"
кипяток,руьхьуь хьед
кипяченный,руьхьуьф
кое как,са хIилла
купец,савдагар
коровник,сал
как,суман
корона,тадж
конец,"текIил (и, ар)"
конечный,текIилинф
ключица,ттаккра
куцый,"тумакь (и, ар)"
капкан,тIабар
канат,тIил
капля,тIинкI
колечко,"тIубул (а, ар)"
кольцо,"тIубул (а, ар)"
кормушка,"тIун (а, ар)"
красивый,ухьтанф
кипение,уц
кипятить,"уцас (уцай, уцуна, уц, уцуб, муца)"
косить,"уцас (уцай, уцуна, уц, уцуб, муца)"
косарь,уцаф
кипяченный,уцуф
кость (тазовая),уьркьехаб
как,фиштти
какой,фишттинф
колесо,фур
корзина (плетенная),фурдагъ
корзина (плетенная),фурдакI
кто,фуш
казна,хазина
клад,хазина
казначей,хазиначи
кайтагцы,хайдакьар
комната,"хал (хула, хулар)"
крест,хач
кобыла,хвар
клещ,хецIв
крыло,"хил (и, ар)"
крыша,"хулагъ (и, ар)"
красть,"хъадикIенас (хъадиркIенди, хъадикIина, хъадикIен, хъадикIиб, хъадимркIена)"
кража,хъадикIиб
кол,хъерт
канава,хьеттин хул
клевер,хьибу цIаб але IуькI
кишка (большая),хIа руд
крупно,хIайи
кукуруза,хIеджибугъда
клятва,хIу
клясться,хIу акьас
корова,"хIуни (-, вар)"
коровий,хIунинф
камень (точильный),хIуьрджан
крыса,хIуьрчал
кастрюля,"хIуяг (и, ар)"
котел,"хIуяг (и, ар)"
корточки,цукI
кривить (ся),цIакас
косой,цIакуф
кривой,цIакуф
коза,цIегь
куница,цIурцIул
крепкий,цIуьппеф
крепко,цIуьппи
кузен,чибхар
куль,"чувал (и, ар)"
кузнечик,чуькI
котелок,чIакь
котомка,"чIилIан (и, ар)"
коса (инструмент),чIиникI
каштан,шабалут
комар,шатт
конь,шив
краска,шир
корыто (деревянное для теста),"шурум (и, ар)"
клеймо,эрдж
купаться,яIар ахъас
колыбель,"Iаб (а / ала, ар)"
клоун,Iабкьун
керамика,Iач
корм,Iелеф
кал,Iуьй
кушать,"IуьтIанас (Iелди, IуьтIуна, IуьтIан, IуьтIуб, меIела)"
кашель,IуьхIуь
купать,"Iуьччанас (Iуьрччанди, Iуьччуна, Iуьччан, Iуьччуб, маIуьрччана)"
кислый,IуьчIеф
лоб,"абанкьул (и, ар)"
лить (что-л),"агьатас (агьартай, агьатуна, агьат, агьатуб, агьамарта)"
литература,адабият
литературный,адабиятинф
ломать (ся),"арчIвас (арчIвай, арчIуна, арчIв, арчIуб, амарчIва)"
лев,"аслан (ди, ар)"
лежать,"ахъухьас (ахъухьай, ахъухьуна, ахъухь, ахъухьуб, ахъумихьа)"
лечь,"ахъухьас (ахъухьай, ахъухьуна, ахъухь, ахъухьуб, ахъумихьа)"
ложиться,"ахъухьас (ахъухьай, ахъухьуна, ахъухь, ахъухьуб, ахъумихьа)"
лента,"багъ (у, ар)"
лапа,бачI
лапа,"беI (уь, ер)"
ласточка,"бишикI (и, ар)"
луна,"ваз (вазала/ вазура, вазар)"
лунный,вазуранф
ладонь,"гап (у, ар)"
ладонь,гъилин гIан
липа,гъирд
легкое (анат.),"гъудул (и, ар)"
летать,"гьишас (гьишай, гьишина, гьиш, гьишиб, гьимиша)"
лай,гIанцI
луг,"гIар (а, ар)"
лягушка,"гIуб (ура, ар)"
ласка,гIудулвел
ласковый,гIудулф
лето,"гIул (и, ар)"
летом,гIулана
летний,гIулинф
лес,"дар (дара, дарар)"
лекарство,"дарман (и, ар)"
лизать,дужас
лавка,дукан
лавочник,"дуканчи (-, бур)"
ладить (ся),"дуьхьес (дуьрхьей, дуьхьуьна, дуьхь, дуьхьуьб, мадуьрхье)"
ладный,дуьхьуьф
лестница (каменная),зуьлерар
легко,илгунди
легкий,илгунф
лихорадка,"ифул (и, ар)"
лишай,кабк
липнуть,кикъвас
любимая,ккананай
любовь,кканевел
любимый,кканеф
любить,"кканхьас (кканди, - кканхьуна, - кканухь, - кканхьеб, - кканмева)"
ликвидировать,ккедихьас
ликвидатор,ккедихьаф
ликвидация,ккедихьуб
лень,ккулинвел
лениво,ккулинди
ленивый,ккулинф
лик,"куц (а, -)"
локоть,къархьил
лошак,"къатир (и, ар)"
лукошко,"къваркъв (а, ар)"
лестница (деревянная),къедарар
липовый,кьалп
лопата (деревянная),"кьасу (йи, бур)"
лейка,кьиф
лебедь,"кьуркь (а, ар)"
ладанка,"кIедж (и, ар)"
лист (бумажный),"кIедж (и, ар)"
лопата,"кIетIа (йи, бур)"
лодка,луьтке
ландыш,маргъал
лавина,"мархал (и, ар)"
лизать,мез йирхIас
лед,"мерккв (мерккура, меркквар)"
ледянной,мерккуранф
лестница (переносная),мугI
лезвие,"мурз (уни, ар)"
лягать (ся),муркI йирхIас
лягнуть,муркI йирхIас
луч,нур
лопух,"парI (у, ар)"
линять,ранг алайхьас
ловушка,"рукьар (и, -)"
лиса,"сул (а, ар)"
лисица,"сул (а, ар)"
лисинный,суланф
летопись,"тарих (ди, ар)"
летописец,тарихчи
лук (оружие),ттаккра
ложка,"ттур (ари, ар)"
ложница,ттураккен
ласка,турк
литься (осадкам),угъас
ловить,"фацанас (фарцанди, фацуна, фацен, фацуб, фамарцана)"
линия,хатI
лицо,"хъуьссу (ий, бур)"
лицевой,хъуьссуйинф
"либо (что-л, кто-л, и т.д.)",хьунара
лошадь,"хIейван (ди, ар)"
лошадинный,хIейвандинф
лист,цIаб
левый,чиппилф
луг,"чIир (и, ар)"
лук репчатый,чIичIакI
ли?,эв?
лезгины,ярккаяр
лакцы,яхулар
люлька,"Iаб (а / ала, ар)"
лягушка,Iаванцай
лихо,Iайи
лужа,Iуьр
мерить,"алцанас (алцанди, алцуна, алцен, алцуб, малцана)"
мерзавец,алчагъ
между,арайиъ
мерин,"ахтта (йи, бур)"
матрац,"ахун (и, ар)"
много,ацIун
мама,"баб (а, ар)"
мать,"баб (а, ар)"
мамин,бабанф
материнский,бабанф
материнство,бабвел
медведь,"багниш (и, ар)"
миндаль (орех),"бадам (и, ар)"
миндаль (дерево),бадамин кIур
матрац (детский),баджагIан
медвеженок,бангнишин чарккв
маленький,бицIиф
малец,бицIиф
малый,бицIиф
младший,бицIиф
молчать,"буIас (буIай, буIуна, буI, буIуб, мабуIа)"
молчаливый,буIаф
молчун,буIаф
месяц,"ваз (вазала / вазура, вазар)"
месячный,вазаланф
максимально,вередегьен
моток,"гирген (и, ар)"
мяч,"гирген (и, ар)"
миска,"гур (а, ар)"
молот,"гъад (ала, ар)"
молоток,"гъад (ала, ар)"
мешать,"гIадаркас (гIадаркай, гIадаркуна, гIадарк, гIадаркуб, гIадамарка)"
мотать,гIадичанас
мука (боль),гIезаб
мучение,гIезаб
мягкость,гIудулвел
мягкий,гIудулф
мука (еда),"гIур (и, ар)"
минута,"дакьикьа (йи, бур)"
мачеха,дахе баб
молодость,джигьилвел
молодой,джигьилф
метель,джикал
мести,"джикас (джикай, джикуна, джик, джикуб, маджика)"
марля,джуна
магазин,дукан
менять,духIуба акьас
меняться,духIуба хьас
молитва (дуа),"дуьгIе (дуьгIера, дуьгIебур)"
мир,"дуьнйа (йи, бур)"
мировой,дуьнйайинф
мириться,"дуьхьес (дуьрхьей, дуьхьуьна, дуьхь, дуьхьуьб, мадуьрхье)"
мир,завар джилар
мой,зеф
муравей,зибз
моча,зур
молодец,зурба
мужчина,"идеми (-, ар)"
мужество,"иллевел (ди, -)"
мужской,иллеф
мужчина,"иллеф (илетти, илар)"
мироность,ислахIвел
мирный,ислахIф
медь,"иф (а, -)"
масло (сливочное),"ифал (и, ар)"
медный,ифанф
метка,"ишан (ди, ар)"
мишень,"ишан (ди, ар)"
меченный,ишан алеф
милый,йиркIв алеф
мастерская,кархана
межа,кквар
мул,"къатир (и, ар)"
молитва,къулгун
молиться,къулгун акьас
мясник,"кьаабчи (-, бур)"
музыканты,кьавалар
моль,кьапIкI
мужественный,кьехIелф
месть,кьисас
материал,кьумаш
материя,кьумаш
материк,кьурамат
морковь,кьутI
мизинец,кIачIалай
мерка,кIватт
мертвый,кIеф
мех (мешок),кIечI
мешок (из кожи животного),кIечI
мелководье,кIилле ус
мальчик,"кIиркI (а, ар)"
макушка,кIукI
мгновение,лехIзе
миг,лехIзе
мелодия,макьам
мотив,макьам
мулла,"малла (йи, бур)"
мозг,маскъв
милый,массанф
мессия,месигь
магал,мехIела
минарет,минара
мольба,миннат
метла,мугул
мост,"мугI (уйи, ар)"
мостовой,мугIуйинф
мелкотня,музеттар
мелочь,музеттар
мелкий,музеф
место,"мукь (уйи, ар)"
местный,мукьуйинф
мечта,"мурад (и, ар)"
мрак,"мучI (ина, ар)"
мрачный,мучIеф
молоко,"некк (ди, -)"
могила,"некьв (ди, ар)"
могильный,некьвдинф
мякина,нехъвар
монарх,"паччагь (ди, ар)"
мельница,"рагI (у, ар)"
мельник,рагIухъан
милость,рехIми
молоть,"ругIас (ругIай, ругIуна, ругI, ругIуб, маругIа)"
металл,"рукь (а, -)"
металлический,рукьанф
мыло,сагIбун
мяч,тупп
меч,тур
мышеловка,тIабар
мутный,тIахIурф
массировать,"тIишанас (тIиршанди, тIишина, тIишан, тIишиб, матIиршана)"
месить,"тIишанас (тIиршанди, тIишина, тIишан, тIишиб, матIиршана)"
мять,"тIишанас (тIиршанди, тIишина, тIишан, тIишиб, матIиршана)"
муха,тIутI
мять,"тIучIанас (тIурчIанди, тIучIуна, тIучIан, тIучIуб, матIурчIана)"
мята,"уриар (и, -)"
мятный,уриаринф
местность,"ус (а, ар)"
место,"ус (а, ар)"
мастер,устта
мастерство,усттавел
мед,уьтт
мнение,"фикир (ди, ар)"
мысль,"фикир (ди, ар)"
мыслить,фикир акьас
мочь,хьас
мы (с тобой),хьин
мозоль,хьурхьур
море,"хIуьл (и, ар)"
мак,цIантук
молния,цIелепен
мы (без тебя),чин
мешок (большой),"чувал (и, ар)"
масло сливочное,ччам
мусор,чIирхIар
мало,чIукь
мало,чIукьди
меньше (кол-во),чIукьди
масло (растительное),шам
мешок,"шишал (и, ар)"
муж,"шуй (шува, шувар)"
медленно,яваштти
медленный,явашттинф
мясо,якк
мочить,Iашас акьас
мокрый,Iашуф
миловать,Iегвал хьас
милость,Iегвалвел
мышь,Iул
мыть,"Iуьччанас (Iуьрччанди, Iуьччуна, Iуьччан, Iуьччуб, маIуьрччана)"
мойка,Iуьччуб
мытье,Iуьччуб
наизнанку,агъдаркнуа
недавно,агьалсуман
наливать,"агьатас (агьартай, агьатуна, агьат, агьатуб, агьамарта)"
налить,"агьатас (агьартай, агьатуна, агьат, агьатуб, агьамарта)"
нагибаться,"агьукIас (агьукIай, агьукIуна, агьукI, агьукIуб, ?)"
нагнуться,"агьукIас (агьукIай, агьукIуна, агьукI, агьукIуб, ?)"
надломить (ся),аларгIас
наступать,"алишас (алишай, алишина, алиш, алишиб, алмиша)"
наступить,"алишас (алишай, алишина, алиш, алишиб, алмиша)"
налетать,"алукас (алукай, алукуна, алук, алукуб, алумука)"
налететь,"алукас (алукай, алукуна, алук, алукуб, алумука)"
нападать,"алукас (алукай, алукуна, алук, алукуб, алумука)"
напасть,"алукас (алукай, алукуна, алук, алукуб, алумука)"
негодяй,алчагъ
накидывать,"алчихьас (алчихьай, алчихьуна, алчихь, алчихьуб, алчимихьа)"
накинуть,"алчихьас (алчихьай, алчихьуна, алчихь, алчихьуб, алчимихьа)"
но,амма
нарыв,"асхъай (асхъайи, асхъаяр)"
наконец,ахира
низ,ахтт
наполниться,"ацIас (арцIай, ацIуна, ацI, ацIуб, марцIа)"
наполняться,"ацIас (арцIай, ацIуна, ацI, ацIуб, марцIа)"
насытиться,"ацIас (арцIай, ацIуна, ацI, ацIуб, марцIа)"
насыщаться,"ацIас (арцIай, ацIуна, ацI, ацIуб, марцIа)"
наполнить,ацIас акьас
наполнять,ацIас акьас
насытить,ацIас акьас
насыщать,ацIас акьас
наполненный,ацIуф
насыщенный,ацIуф
находиться,ая
необычный,багIвай
необычно,багIвайди
навряд ли,баджат
несчастье,бала
надоедать,бизар акьас
нодесть,бизар акьас
надоевший,бизар хьеф
на,варттал
над,варттал
наверх,вартталди
не,ваъ
нет,ваъ
навоз (овечий),гамра
необходимый,герекф
наматывать,гъадичанас
намотать,гъадичанас
незрелый,гъазеф
неспелый,гъазеф
нести,гъас
ниша,"гъул (у, ар)"
настроение,"гьава (йи, бур)"
ныне,гьал
нынешний,гьалдин
нехватать (кому-чему-л),"гьудуркIас (гьудуркIай, гьудуркIуна, -, гьудуркIуб, -)"
нехватить (кому-чему-л),"гьудуркIас (гьудуркIай, гьудуркIуна, -, гьудуркIуб, -)"
недостаток,"гьудуркIуб (а, ар)"
недостаточно,гьудуркIуна
наматывать,гIадичанас
намотать,гIадичанас
нутро,"гIан (а, ар)"
наука,"гIилми (-, бур)"
научный,гIилминф
нарушения,даваттар
"нарушать (обычаи, правила и т.д.)",даваттар акьас
"нарушить (обычаи, правила и т.д.)",даваттар акьас
незнание,дагIавел
не зная,дагIай
незнакомец,дагIаф
незнакомый,дагIаф
нелюбя,дакканди
неохотно,дакканди
нехотя,дакканди
нелюбимый,дакканф
неприятный,дакканф
неродной,дахеф
невозможный,девереф
наказание,джаза
найти,"джикIенас (джиркIенди, джикIина, джикIен, джикIиб, маджиркIена)"
находить,"джикIенас (джиркIенди, джикIина, джикIен, джикIиб, маджиркIена)"
найденный,джикIиф
нитка,дукьум
нить,дукьум
ножовка,"дурахал (ди, ар)"
неприятель,"душман (ди, ар)"
небо,"зав (у, ар)"
небесный,завунф
налог,закат
навредить,зарар акьас
напрягаться,зигIас
насилие,зулум
начальник,идарайин хIаф
наследство,ирс
наступать годовщине,ис атIас
наждак,"ихал (и, ар)"
наждатчный,ихалинф
нарисовать,"ишкил йирхIас (- йирхIай, - йирхIуна, - йирхI, - йирхIуб, - мирхIа)"
наизусть,йиркIуралас
нож,"кантI (ала, ар)"
ножевой,кантIаланф
насмехаться,"келхъенас (келхъенди, келхъуьна, келхъен, келхъуьб, кемелхъена)"
насмешка,"келхъуьб (а, ар)"
наслаждение,кеф
ноготь,кирк
нужный,кканеф
нескончаемый,ккидиркIваф
наоконченный,ккидиркIуф
незавершенный,ккидиркIуф
незаконченный,ккидиркIуф
неконченный,ккидиркIуф
нетерпеливый,ккидихаф
наковальня,ккуьрз
ножны,къай
ноша,къакъ
намаз,къулгун
назад,кьабахъди
нарочно,кьасустти
нагишом,кьацIулди
носоглотка,кьуркьан кьаб
напоминать,кIвал акьас
напомнить,кIвал акьас
напоминание,кIвал акьуб
навестить,кIил дивас
навещать,кIил дивас
наглеть,кIилил алгъучIас
наглый,кIилил алгъучIуф
необходимо,лазим э
необходимый,лазимф
нога,"лек (у, ар)"
написать,"ликIенас (лиркIенди, ликIина, ликIен, ликIиб, малиркIена)"
нетель,лучI
надежный (сооружение),мехIкемф
народность,"милат (и, ар)"
нация,"милат (и, ар)"
национальный,милатинф
националист,"милатчи (-, бур)"
национализм,милатчивел
насекомые,милехъвар
нора,"муг (уйи, ар)"
никогда,мусра
надежда,муш
надежный,муш кеяф
надеяться,муш кихьас
никуда,найичра
нигде,нандира
назидание,насихIет
наставление,насихIет
нюхать,ниъ дивас
намерение,ният
намереваться,ният акьас
навес,падж
нищий,раккаттай
нагреваться,риянас
нагреться,риянас
накаливаться,риянас
накалиться,риянас
нагревать,риянас акьас
нагреть,риянас акьас
накаливать,риянас акьас
накалить,риянас акьас
несомненно,са гъургъубра адавай
немного,са чIукь
ни разу,сагелайра
неожиданно,садпуна
ни один,садра
небо (во рту),сивин гъад
ноль,сифир
нуль,сифир
наподобие,суман
невеста,"сус (а, ар)"
невестка,"сус (а, ар)"
носилки,"суьри (-, бур)"
напарник,тай
нитка,ттун
нить,ттун
название,"ттур (ари, ар)"
называть,ттур алийинас
натуральный,тIабиIетинф
нрав,"тIул (а, ар)"
находился,уйи
наблюдать,ул алихьас
напиток,ухаф
ничто,фера
навоз,фурд
никто,фушра
назад,хаб
народ,"халкь (ди, ар)"
народный,халкьдинф
нитка,хаятI
нить,хаятI
накидывать (одежду),хъацас
накинуть (одежду),хъацас
нос,"хъехъв (хъехъуь, хъехъвер)"
ноздря,хъехъуьран кул
неверный,хъудугъаф
неверующий,хъудугъаф
наступать (чему-л),хъучавес
наступить (чему-л),хъучавес
начинать,"хъучучIас (хъучучIай, хъучучIуна, хъучучI, хъучучIуб, хъучумучIа)"
начинающий,хъучучIаф
начатый,хъучучIуф
низко,хьеба
низость,хьебавел
низкий,хьебаф
наш (с вами),хьеф
"нибудь (что-н, кто-н, и.д.)",хьунара
неделя,"хIефтта (йи, бур)"
недельный,хIефттайинф
ножницы,хIуьттез
новость,цIае хабар
новый,цIаеф
наш (без вас),чеф
напрасно,чIана
неприличный,чIирхIеф
непристойный,чIирхIеф
неуклюжий,шебетай
неумеха,шебетай
ненадежный,эхIттибар алдаваф
надежный,эхIттибар алеф
навсегда,ягъди
намокать,"Iашас (Iаршай, Iашуна, Iаш, Iашуб, маIарша)"
намокнуть,"Iашас (Iаршай, Iашуна, Iаш, Iашуб, маIарша)"
немой,Iебаб
неметь,Iебаб хьас
невежда,"Iевам (и, ар)"
неуч,"Iевам (и, ар)"
наволочка,Iуьрдеккендин хал
ночь,"Iуьш (а, ар)"
ночевать,Iуьш акьас
ночевание,Iуьш акьуб
ночной,Iуьшанф
ночью,Iуьшуй
полдень,абкьан
показать,агвар акьас
показывать,агвар акьас
привидеться,агвар акьас
приведение,агваракьуф
призрак,агваракьуф
показаться,"агвас (аргвай, агуна, -, агуб, -)"
промелькнуть (ся),агуна гуланас
подниматься (куда-л),"агъавес (агъавей, агъушуна, агъаях, агъушуб, агъамева)"
подняться (куда-л),"агъавес (агъавей, агъушуна, агъаях, агъушуб, агъамева)"
поднимать (наверх),"агъдивас (агъдивай, агъдивуна, агъдив, агъдивуб, агъмадива)"
поднять (наверх),"агъдивас (агъдивай, агъдивуна, агъдив, агъдивуб, агъмадива)"
пучиться,"агъикIас (агъикIай, агъикIуна, агъикI, агъикIуб, агъимикIа)"
полить,"агьатас (агьартай, агьатуна, агьат, агьатуб, агьамарта)"
повалять (кого-что-л в чем-л),"адаркас (адаркай, адаркуна, адарк, адаркуб, адамарка)"
падать,"адархьас (адархьай, адархьуна, адархь, адархьуб, адмархьа)"
приход,адеб
пришествие,адеб
придти,адес
приходить,адес
пришедший,адеф
прогонять,"адикас (адикай, адикуна, адик, адикуб, адимика)"
пронать,"адикас (адикай, адикуна, адик, адикуб, адимика)"
подстилать,"аккихьас (аккихьай, аккихьуна, аккихь, аккиихьуб, аккимихьа)"
подстилить,"аккихьас (аккихьай, аккихьуна, аккихь, аккиихьуб, аккимихьа)"
побелить,"акуранас (акуранди, акуруна, акуран, акуруб, акумурана)"
переливаться,"алавес (алавей, алайшуна, алаях, алайшуб, алмева)"
перелиться,"алавес (алавей, алайшуна, алаях, алайшуб, алмева)"
переполниться,"алавес (алавей, алайшуна, алаях, алайшуб, алмева)"
переполняться,"алавес (алавей, алайшуна, алаях, алайшуб, алмева)"
перелезать,"алайчIвас (алайчIвай, алайчIуна, алайчIв, алайчIуб, аламайчIва)"
перелезть,"алайчIвас (алайчIвай, алайчIуна, алайчIв, алайчIуб, аламайчIва)"
побрить (голову),"алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
"почистить (кожуру, кору и т.д.)","алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
падать,"алархьас (алархьай, алархьуна, алархь, алархьуб, аламархьа)"
подниматься (на что-л),"алгъавес (алгъавей, алгъушуна, алгъаях, алгъушуб, алгъамева)"
подняться (на что-л),"алгъавес (алгъавей, алгъушуна, алгъаях, алгъушуб, алгъамева)"
повернуться,"алдаркас (алдаркай, алдаркуна, алдарк, алдаркуб, алдамарка)"
поворачиваться,"алдаркас (алдаркай, алдаркуна, алдарк, алдаркуб, алдамарка)"
перевязать,"алитIанас (алиртIанди, алитIуна, алитIен, алитIуб, алимартIа)"
перевязывать,"алитIанас (алиртIанди, алитIуна, алитIен, алитIуб, алимартIа)"
положить,"алихьас (алихьай, алихьуна, алихь, алихьуб, алмихьа)"
поругать,"алухIанас (алурхIанди, алухIуна, алухIен, алухIуб, алумархIа)"
попытаться,"алучIас (алучIай, алучIуна, алучI, алучIуб, алмучIа)"
постараться,"алучIас (алучIай, алучIуна, алучI, алучIуб, алмучIа)"
пытаться,"алучIас (алучIай, алучIуна, алучI, алучIуб, алмучIа)"
попытка,"алучIуб (а, ар)"
померить,"алцанас (алцанди, алцуна, алцен, алцуб, малцана)"
подлец,алчагъ
пасмурный,амсеф
пасмурно,амси
